,loss
0,0.00043362776782494
1,0.0002448692608168464
2,0.00024241590082661388
3,0.00024091702126500126
4,0.00023972154376531183
5,0.00023880899297748859
6,0.00023803253353047433
7,0.00023735229547250914
8,0.00023677159318706898
9,0.00023634929160370994
10,0.0002360031957094309
11,0.00023574812990073
12,0.00023555798701327613
13,0.00023537386758444372
14,0.00023519586335706547
15,0.00023502546173627718
16,0.00023486596422353127
17,0.00023472284413564117
18,0.00023463518288622357
19,0.00023462999856935815
20,0.00023462975854636405
21,0.00023462954598831219
22,0.00023462947712698254
23,0.00023462944452778598
24,0.00023462941279900782
25,0.00023462940285004264
26,0.00023462939483581702
