Model,Opt,Hidden_Size,Learning,Loss
Adam_15_97_100,Adam,15,97,0.014070062983430916
Adam_19_81_100,Adam,19,81,0.010527722252781169
Adam_44_46_100,Adam,44,46,0.01002596709856388
Adam_55_89_100,Adam,55,89,0.008143803077464108
Adam_69_27_100,Adam,69,27,0.0052023546052902495
Adam_69_53_100,Adam,69,53,0.0018444339727600016
Adam_73_33_100,Adam,73,33,0.007493578165912819
Adam_80_34_100,Adam,80,34,0.0075273956503445205
Adam_81_39_100,Adam,81,39,0.006215484255076658
Adam_85_70_100,Adam,85,70,0.0038840492916431923
Adam_87_99_100,Adam,87,99,0.007687801255593478
Adam_89_62_100,Adam,89,62,0.00402626851206116
Adam_89_81_100,Adam,89,81,0.003705916017398125
Adam_98_12_100,Adam,98,12,0.002011929521813394
SGD_11_93_100,SGD,11,93,0.00031336436964699466
SGD_21_90_100,SGD,21,90,0.0003104089282444344
SGD_23_59_100,SGD,23,59,0.0002882995735198597
SGD_26_62_100,SGD,26,62,0.00028941302431847223
SGD_30_46_100,SGD,30,46,0.00027880438912447175
SGD_33_43_100,SGD,33,43,0.00027669593642160647
SGD_39_28_100,SGD,39,28,0.00026735864398295386
SGD_44_13_100,SGD,44,13,0.00025862558313228856
SGD_45_99_100,SGD,45,99,0.00031601117967729544
SGD_47_54_100,SGD,47,54,0.0002829932232516779
SGD_47_79_100,SGD,47,79,0.0003010329674739996
SGD_57_81_100,SGD,57,81,0.0003013463287929797
SGD_58_35_100,SGD,58,35,0.00027097818449686056
SGD_66_56_100,SGD,66,56,0.00028422706535129064
SGD_67_38_100,SGD,67,38,0.0002725486551748352
SGD_72_24_100,SGD,72,24,0.0002641576369249054
SGD_77_71_100,SGD,77,71,0.00029394936023269247
SGD_7_64_100,SGD,7,64,0.00029243436266503223
SGD_80_22_100,SGD,80,22,0.0002629324152366302
SGD_96_32_100,SGD,96,32,0.00026825168211145684
SGD_97_46_100,SGD,97,46,0.0002764970905170603
SGD_98_16_100,SGD,98,16,0.00025983772842009314
SGD_9_38_100,SGD,9,38,0.000274579790081903
SGD_9_52_100,SGD,9,52,0.000283661587262717
SGD_9_53_100,SGD,9,53,0.0002845142514084135
SGDM_10_69_100,SGDM,10,69,0.0006599062858515748
SGDM_14_73_100,SGDM,14,73,0.0006744924008916291
SGDM_18_66_100,SGDM,18,66,0.0006229644636771372
SGDM_25_84_100,SGDM,25,84,0.0007613572262060526
SGDM_48_83_100,SGDM,48,83,0.0007358110172932701
SGDM_49_78_100,SGDM,49,78,0.0007231666611521576
SGDM_62_93_100,SGDM,62,93,0.0008380742520836198
SGDM_63_30_100,SGDM,63,30,0.0004221415015242893
SGDM_81_95_100,SGDM,81,95,0.0008724882165328236
SGDM_88_36_100,SGDM,88,36,0.0004597977812563373
SGDM_99_73_100,SGDM,99,73,0.0006989430798084696
