Model,Opt,Hidden_Size,Learning,Loss
Adam_11_89_100,Adam,11,89,0.02945039052401105
Adam_12_93_100,Adam,12,93,0.02575033824191977
Adam_17_54_100,Adam,17,54,0.012924213905035932
Adam_27_35_100,Adam,27,35,0.012463752066711102
Adam_36_15_100,Adam,36,15,0.0048022280924011045
Adam_43_37_100,Adam,43,37,0.007396141054077405
Adam_56_36_100,Adam,56,36,0.00526841063698075
Adam_77_16_100,Adam,77,16,0.0053553436990503075
Adam_78_68_100,Adam,78,68,0.002735033820057973
Adam_80_69_100,Adam,80,69,0.0058789773069187245
Adam_81_75_100,Adam,81,75,0.005469964772188165
Adam_82_66_100,Adam,82,66,0.0028773268795801304
Adam_9_76_100,Adam,9,76,0.03372749193707912
SGD_13_30_100,SGD,13,30,0.00027625830758009283
SGD_13_90_100,SGD,13,90,0.00032395507183868735
SGD_17_14_100,SGD,17,14,0.00026582781675817206
SGD_19_71_100,SGD,19,71,0.00030693794764864415
SGD_24_44_100,SGD,24,44,0.00028572216435369924
SGD_25_55_100,SGD,25,55,0.0002940221686689882
SGD_25_78_100,SGD,25,78,0.00031157549015175227
SGD_35_20_100,SGD,35,20,0.00026840955434349363
SGD_38_47_100,SGD,38,47,0.0002877716906264899
SGD_41_31_100,SGD,41,31,0.00027572773015495454
SGD_48_42_100,SGD,48,42,0.0002830073181272787
SGD_5_53_100,SGD,5,53,0.000294441033974714
SGD_61_72_100,SGD,61,72,0.0003056767197897586
SGD_64_48_100,SGD,64,48,0.00028654776779592363
SGD_71_96_100,SGD,71,96,0.00032159370713137424
SGD_72_76_100,SGD,72,76,0.00030628379661866217
SGD_79_78_100,SGD,79,78,0.0003076869130689007
SGD_80_65_100,SGD,80,65,0.00029755144181890043
SGD_8_80_100,SGD,8,80,0.00031645551788039785
SGD_97_48_100,SGD,97,48,0.0002854128114266234
SGD_9_43_100,SGD,9,43,0.0002866719338930209
SGDM_10_90_100,SGDM,10,90,0.0007206308659702661
SGDM_18_64_100,SGDM,18,64,0.0005672043163168412
SGDM_20_35_100,SGDM,20,35,0.00043828179826666073
SGDM_21_48_100,SGDM,21,48,0.0004997124558293174
SGDM_24_36_100,SGDM,24,36,0.00044735041892730594
SGDM_29_74_100,SGDM,29,74,0.0006611104870424503
SGDM_39_84_100,SGDM,39,84,0.0007163263386967476
SGDM_40_16_100,SGDM,40,16,0.0003283879903775922
SGDM_41_21_100,SGDM,41,21,0.0003573317899685085
SGDM_44_84_100,SGDM,44,84,0.0006941217243598648
SGDM_62_15_100,SGDM,62,15,0.00032024036370604137
SGDM_7_84_100,SGDM,7,84,0.0006673617216387618
SGDM_81_39_100,SGDM,81,39,0.0004444417560412533
SGDM_82_14_100,SGDM,82,14,0.00031374848834923353
SGDM_93_51_100,SGDM,93,51,0.0005085598361225499
SGDM_96_79_100,SGDM,96,79,0.0006882709255376045
